Fecha,departamento,causa,total,Total_Hombres,Total_Mujeres,Total_Indeterminado,Menor 1 hora_Hombres,Menor 1 hora_Mujeres,Menor 1 hora_Indeterminado,De 1 a 23 horas_Hombres,De 1 a 23 horas_Mujeres,De 1 a 23 horas_Indeterminado,De 1 a 6 días_Hombres,De 1 a 6 días_Mujeres,De 1 a 6 días_Indeterminado,De 7 a 27 días_Hombres,De 7 a 27 días_Mujeres,De 7 a 27 días_Indeterminado,De 28 a 29 días_Hombres,De 28 a 29 días_Mujeres,De 28 a 29 días_Indeterminado,De 1 a 5 meses_Hombres,De 1 a 5 meses_Mujeres,De 1 a 5 meses_Indeterminado,De 6 a 11 meses_Hombres,De 6 a 11 meses_Mujeres,De 6 a 11 meses_Indeterminado,De 1 año_Hombres,De 1 año_Mujeres,De 1 año_Indeterminado,De 2 a 4 años_Hombres,De 2 a 4 años_Mujeres,De 2 a 4 años_Indeterminado,De 5 a 9 años_Hombres,De 5 a 9 años_Mujeres,De 5 a 9 años_Indeterminado,De 10 a 14 años_Hombres,De 10 a 14 años_Mujeres,De 10 a 14 años_Indeterminado,De 15 a 19 años_Hombres,De 15 a 19 años_Mujeres,De 15 a 19 años_Indeterminado,De 20 a 24 años_Hombres,De 20 a 24 años_Mujeres,De 20 a 24 años_Indeterminado,De 25 a 29 años_Hombres,De 25 a 29 años_Mujeres,De 25 a 29 años_Indeterminado,De 30 a 34 años_Hombres,De 30 a 34 años_Mujeres,De 30 a 34 años_Indeterminado,De 35 a 39 años_Hombres,De 35 a 39 años_Mujeres,De 35 a 39 años_Indeterminado,De 40 a 44 años_Hombres,De 40 a 44 años_Mujeres,De 40 a 44 años_Indeterminado,De 45 a 49 años_Hombres,De 45 a 49 años_Mujeres,De 45 a 49 años_Indeterminado,De 50 a 54 años_Hombres,De 50 a 54 años_Mujeres,De 50 a 54 años_Indeterminado,De 55 a 59 años_Hombres,De 55 a 59 años_Mujeres,De 55 a 59 años_Indeterminado,De 60 a 64 años_Hombres,De 60 a 64 años_Mujeres,De 60 a 64 años_Indeterminado,De 65 a 69 años_Hombres,De 65 a 69 años_Mujeres,De 65 a 69 años_Indeterminado,De 70 a 74 años_Hombres,De 70 a 74 años_Mujeres,De 70 a 74 años_Indeterminado,De 75 a 79 años_Hombres,De 75 a 79 años_Mujeres,De 75 a 79 años_Indeterminado,De 80 a 84 años_Hombres,De 80 a 84 años_Mujeres,De 80 a 84 años_Indeterminado,De 85 a 89 años_Hombres,De 85 a 89 años_Mujeres,De 85 a 89 años_Indeterminado,De 90 a 94 años_Hombres,De 90 a 94 años_Mujeres,De 90 a 94 años_Indeterminado,De 95 a 99 años_Hombres,De 95 a 99 años_Mujeres,De 95 a 99 años_Indeterminado,De 100 años y más_Hombres,De 100 años y más_Mujeres,De 100 años y más_Indeterminado,Edad desconocida_Hombres,Edad desconocida_Mujeres,Edad desconocida_Indeterminado
2019,TOTAL NACIONAL,"021 Todos los demás tumores malignos de los órganos respiratorios e intratorácicos, excepto tráquea, bronquios y pulmón",252,164,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,0,4,2,0,6,1,0,5,1,0,4,4,0,5,2,0,8,7,0,12,4,0,14,5,0,23,10,0,22,8,0,20,10,0,8,12,0,11,14,0,11,6,0,1,0,0,0,2,0,0,0,0,0,0,0
2019,TOTAL NACIONAL,022 Tumor maligno de los huesos y de los cartilagos articulares,330,179,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,5,11,0,27,14,0,22,5,0,10,4,0,7,9,0,6,5,0,7,4,0,4,8,0,13,4,0,8,10,0,11,12,0,16,10,0,11,7,0,14,11,0,7,15,0,5,10,0,3,6,0,1,3,0,0,0,0,0,0,0
2019,TOTAL NACIONAL,023 Melanoma y otros tumores malignos de la piel,831,452,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,1,4,0,2,4,0,7,9,0,12,7,0,12,12,0,16,23,0,22,21,0,42,26,0,48,31,0,59,36,0,54,39,0,65,48,0,48,56,0,46,30,0,10,25,0,3,6,0,0,0,0
2019,TOTAL NACIONAL,024 Tumor maligno de la mama de la mujer,3608,0,3608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,24,0,0,69,0,0,150,0,0,215,0,0,285,0,0,407,0,0,480,0,0,422,0,0,390,0,0,319,0,0,293,0,0,231,0,0,185,0,0,93,0,0,34,0,0,7,0,0,0,0
2019,TOTAL NACIONAL,025 Tumor maligno del cuello del útero,1819,0,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,35,0,0,97,0,0,111,0,0,154,0,0,207,0,0,181,0,0,209,0,0,199,0,0,164,0,0,149,0,0,124,0,0,101,0,0,62,0,0,17,0,0,3,0,0,1,0,0,0,0
2019,TOTAL NACIONAL,026 Tumor maligno de otras partes del útero,685,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,14,0,0,18,0,0,32,0,0,54,0,0,66,0,0,100,0,0,107,0,0,86,0,0,92,0,0,47,0,0,37,0,0,21,0,0,4,0,0,0,0,0,0,0
2019,TOTAL NACIONAL,027 Tumor maligno del ovario,1135,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,7,0,0,11,0,0,14,0,0,34,0,0,41,0,0,85,0,0,135,0,0,156,0,0,149,0,0,135,0,0,119,0,0,101,0,0,75,0,0,42,0,0,18,0,0,6,0,0,0,0,0,0,0
2019,TOTAL NACIONAL,028 Tumor maligno de la próstata,3437,3437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,7,0,0,39,0,0,98,0,0,228,0,0,338,0,0,501,0,0,650,0,0,668,0,0,559,0,0,263,0,0,69,0,0,12,0,0,0,0,0
2019,TOTAL NACIONAL,029 Tumor maligno de la vejiga urinaria,623,430,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,4,0,0,2,2,0,5,3,0,14,6,0,24,15,0,28,17,0,55,23,0,63,27,0,62,28,0,76,29,0,61,25,0,20,12,0,9,5,0,2,0,0,0,0,0
2019,TOTAL NACIONAL,030 Todos los demás tumores malignos de los órganos urinarios,679,415,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,1,0,1,3,0,1,1,0,0,1,0,6,0,0,4,1,0,3,2,0,6,2,0,8,6,0,17,6,0,34,21,0,31,18,0,40,34,0,70,40,0,61,28,0,56,43,0,37,32,0,23,19,0,9,3,0,4,1,0,0,0,0,0,0,0
