year,departamento,municipio,total,hombres,mujeres,indeterminado
2019,15 Boyacá,15087 Belén,76,35,41,0
2019,15 Boyacá,15090 Berbeo,9,5,4,0
2019,15 Boyacá,15092 Betéitiva,9,7,2,0
2019,15 Boyacá,15097 Boavita,43,18,25,0
2019,15 Boyacá,15104 Boyacá,58,30,28,0
2019,15 Boyacá,15106 Briceño,16,10,6,0
2019,15 Boyacá,15109 Buenavista,42,25,16,1
2019,15 Boyacá,15114 Busbanzá,1,1,0,0
2019,15 Boyacá,15131 Caldas,11,2,9,0
2019,15 Boyacá,15135 Campohermoso,23,14,9,0
2019,15 Boyacá,15162 Cerinza,23,12,11,0
2019,15 Boyacá,15172 Chinavita,21,14,7,0
2019,15 Boyacá,15176 Chiquinquirá,720,382,338,0
2019,15 Boyacá,15180 Chiscas,18,11,7,0
2019,15 Boyacá,15183 Chita,86,41,45,0
2019,15 Boyacá,15185 Chitaraque,59,38,21,0
2019,15 Boyacá,15187 Chivatá,32,17,15,0
2019,15 Boyacá,15189 Ciénega,42,18,24,0
2019,15 Boyacá,15204 Cómbita,94,52,42,0
2019,15 Boyacá,15212 Coper,17,9,8,0
2019,15 Boyacá,15215 Corrales,28,18,10,0
2019,15 Boyacá,15218 Covarachía,21,11,10,0
2019,15 Boyacá,15223 Cubará,138,74,64,0
2019,15 Boyacá,15224 Cucaita,61,30,31,0
2019,15 Boyacá,15226 Cuítiva,19,12,7,0
2019,15 Boyacá,15232 Chíquiza,35,15,20,0
2019,15 Boyacá,15236 Chivor,11,6,5,0
2019,15 Boyacá,15238 Duitama,1423,754,669,0
2019,15 Boyacá,15244 El Cocuy,50,17,33,0
2019,15 Boyacá,15248 El Espino,21,7,14,0
2019,15 Boyacá,15272 Firavitoba,47,27,20,0
2019,15 Boyacá,15276 Floresta,25,16,9,0
2019,15 Boyacá,15293 Gachantivá,18,13,5,0
2019,15 Boyacá,15296 Gámeza,60,27,33,0
2019,15 Boyacá,15299 Garagoa,149,88,61,0
2019,15 Boyacá,15317 Guacamayas,13,8,5,0
2019,15 Boyacá,15322 Guateque,101,52,49,0
2019,15 Boyacá,15325 Guayatá,21,12,9,0
2019,15 Boyacá,15332 Güicán,60,24,36,0
2019,15 Boyacá,15362 Iza,19,9,10,0
2019,15 Boyacá,15367 Jenesano,65,39,26,0
2019,15 Boyacá,15368 Jericó,36,17,19,0
2019,15 Boyacá,15377 Labranzagrande,21,11,10,0
2019,15 Boyacá,15380 La Capilla,19,8,11,0
2019,15 Boyacá,15401 La Victoria,8,3,5,0
2019,15 Boyacá,15403 La Uvita,24,14,10,0
2019,15 Boyacá,15407 Villa de Leyva,181,90,91,0
2019,15 Boyacá,15425 Macanal,21,8,13,0
2019,15 Boyacá,15442 Maripí,40,23,17,0
2019,15 Boyacá,15455 Miraflores,66,35,31,0
2019,15 Boyacá,15464 Mongua,56,23,33,0
2019,15 Boyacá,15466 Monguí,44,23,21,0
2019,15 Boyacá,15469 Moniquirá,242,119,123,0
2019,15 Boyacá,15476 Motavita,66,32,34,0
2019,15 Boyacá,15480 Muzo,76,37,39,0
2019,15 Boyacá,15491 Nobsa,162,100,62,0
2019,15 Boyacá,15494 Nuevo Colón,57,28,29,0
2019,15 Boyacá,15500 Oicatá,16,9,7,0
2019,15 Boyacá,15507 Otanche,74,32,42,0
2019,15 Boyacá,15511 Pachavita,13,7,6,0
2019,15 Boyacá,15514 Páez,29,13,16,0
2019,15 Boyacá,15516 Paipa,341,172,169,0
2019,15 Boyacá,15518 Pajarito,18,5,13,0
2019,15 Boyacá,15522 Panqueba,13,3,10,0
2019,15 Boyacá,15531 Pauna,53,25,28,0
2019,15 Boyacá,15533 Paya,18,8,10,0
2019,15 Boyacá,15537 Paz de Río,42,18,24,0
2019,15 Boyacá,15542 Pesca,78,40,38,0
2019,15 Boyacá,15550 Pisba,18,9,9,0
2019,15 Boyacá,15572 Puerto Boyacá,671,341,330,0
2019,15 Boyacá,15580 Quípama,37,19,18,0
2019,15 Boyacá,15599 Ramiriquí,122,62,60,0
2019,15 Boyacá,15600 Ráquira,85,34,51,0
2019,15 Boyacá,15621 Rondón,15,7,8,0
2019,15 Boyacá,15632 Saboyá,139,74,65,0
2019,15 Boyacá,15638 Sáchica,81,38,43,0
2019,15 Boyacá,15646 Samacá,351,183,168,0
2019,15 Boyacá,15660 San Eduardo,14,7,7,0
2019,15 Boyacá,15664 San José de Pare,42,23,19,0
2019,15 Boyacá,15667 San Luis de Gaceno,40,24,16,0
2019,15 Boyacá,15673 San Mateo,22,6,16,0
2019,15 Boyacá,15676 San Miguel de Sema,24,7,17,0
2019,15 Boyacá,15681 San Pablo de Borbur,52,29,23,0
2019,15 Boyacá,15686 Santana,104,57,47,0
2019,15 Boyacá,15690 Santa María,31,17,14,0
2019,15 Boyacá,15693 Santa Rosa de Viterbo,97,43,54,0
2019,15 Boyacá,15696 Santa Sofía,29,18,11,0
2019,15 Boyacá,15720 Sativanorte,20,10,10,0
2019,15 Boyacá,15723 Sativasur,9,4,5,0
2019,15 Boyacá,15740 Siachoque,93,47,46,0
2019,15 Boyacá,15753 Soatá,83,41,42,0
2019,15 Boyacá,15755 Socotá,84,48,36,0
2019,15 Boyacá,15757 Socha,93,48,45,0
2019,15 Boyacá,15759 Sogamoso,1474,737,737,0
2019,15 Boyacá,15761 Somondoco,8,5,3,0
2019,15 Boyacá,15762 Sora,30,10,20,0
2019,15 Boyacá,15763 Sotaquirá,79,36,43,0
2019,15 Boyacá,15764 Soracá,93,41,52,0
2019,15 Boyacá,15774 Susacón,15,5,10,0
2019,15 Boyacá,15776 Sutamarchán,82,41,41,0
2019,15 Boyacá,15778 Sutatenza,30,15,15,0
2019,15 Boyacá,15790 Tasco,55,28,27,0
2019,15 Boyacá,15798 Tenza,29,17,12,0
2019,15 Boyacá,15804 Tibaná,76,43,33,0
2019,15 Boyacá,15806 Tibasosa,90,49,41,0
2019,15 Boyacá,15808 Tinjacá,27,11,16,0
2019,15 Boyacá,15810 Tipacoque,29,14,15,0
2019,15 Boyacá,15814 Toca,122,57,65,0
2019,15 Boyacá,15816 Togüí,49,23,26,0
2019,15 Boyacá,15820 Tópaga,43,21,22,0
2019,15 Boyacá,15822 Tota,48,23,25,0
2019,15 Boyacá,15832 Tununguá,19,7,12,0
2019,15 Boyacá,15835 Turmequé,49,24,25,0
2019,15 Boyacá,15837 Tuta,90,57,33,0
2019,15 Boyacá,15839 Tutazá,13,10,3,0
2019,15 Boyacá,15842 Umbita,67,27,40,0
2019,15 Boyacá,15861 Ventaquemada,175,76,99,0
2019,15 Boyacá,15879 Viracachá,22,13,9,0
2019,15 Boyacá,15897 Zetaquira,29,14,15,0
2019,17 Caldas,17001 Manizales,3069,1554,1515,0
2019,17 Caldas,17013 Aguadas,187,86,101,0
2019,17 Caldas,17042 Anserma,314,149,165,0
2019,17 Caldas,17050 Aranzazu,106,49,57,0
2019,17 Caldas,17088 Belalcázar,117,60,57,0
2019,17 Caldas,17174 Chinchiná,502,263,239,0
2019,17 Caldas,17272 Filadelfia,72,43,29,0
2019,17 Caldas,17380 La Dorada,828,421,407,0
2019,17 Caldas,17388 La Merced,40,22,18,0
2019,17 Caldas,17433 Manzanares,161,75,86,0
2019,17 Caldas,17442 Marmato,115,52,63,0
2019,17 Caldas,17444 Marquetalia,115,62,53,0
2019,17 Caldas,17446 Marulanda,27,17,10,0
2019,17 Caldas,17486 Neira,177,92,85,0
2019,17 Caldas,17495 Norcasia,67,30,37,0
2019,17 Caldas,17513 Pácora,130,74,56,0
2019,17 Caldas,17524 Palestina,143,72,71,0
2019,17 Caldas,17541 Pensilvania,146,79,67,0
2019,17 Caldas,17614 Riosucio,510,268,242,0
2019,17 Caldas,17616 Risaralda,87,51,36,0
2019,17 Caldas,17653 Salamina,140,81,59,0
2019,17 Caldas,17662 Samaná,148,73,75,0
2019,17 Caldas,17665 San José,47,23,24,0
2019,17 Caldas,17777 Supía,250,124,126,0
2019,17 Caldas,17867 Victoria,64,38,26,0
2019,17 Caldas,17873 Villamaría,472,256,216,0
2019,17 Caldas,17877 Viterbo,101,54,47,0
2019,18 Caquetá,18001 Florencia,3213,1717,1496,0
2019,18 Caquetá,18029 Albania,59,33,26,0
2019,18 Caquetá,18094 Belén de Los Andaquíes,144,78,66,0
2019,18 Caquetá,18150 Cartagena del Chairá,494,268,226,0
2019,18 Caquetá,18205 Curillo,132,63,69,0
2019,18 Caquetá,18247 El Doncello,247,128,119,0
2019,18 Caquetá,18256 El Paujil,184,104,80,0
2019,18 Caquetá,18410 La Montañita,176,95,81,0
2019,18 Caquetá,18460 Milán,110,53,57,0
2019,18 Caquetá,18479 Morelia,65,33,32,0
2019,18 Caquetá,18592 Puerto Rico,380,181,199,0
