Fecha,Período de servicio,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062
2022-03-31,Total,,,,,,,,,,,,,,,,,,,,,,58536577.09009938,101010134.82884744,81097601.89483577,79349033.0962837,74198665.76511371,82696274.25408685,62828960.86409808,45415048.42981224,56272600.59218086,53857786.59575093,57641107.87210618,34427683.53142144,45723742.60195619,37267307.91837905,29543489.89500982,38151460.29101727,8266831.410095353,9386409.782829938,9829617.616553478,15376364.31112466,15776577.509166589,4595180.645262914,13694018.079991,20493680.207533956,3202988.992659782,3180898.046134065,3182141.2164750705,26993726.30274111,18215872.29017544,5930263.063715278,191959.94052083333,191435.4598090278,191435.4598090278,191435.4598090278,191959.94052083333,191435.4598090278,191435.4598090278,191435.4598090278,191959.94052083333,4969099.450972222,0.0
2022-04-30,Amortizaciones,,,,,,,,,,,,,,,,,,,,,,31548551.67068173,67219854.37152433,50104479.742921166,51038451.84492895,47778841.22185892,59461138.02750558,41456535.0900884,27024938.077901296,38010946.578218214,38845224.66796524,43193036.620275244,22009077.886184514,33709091.039559945,28202083.608635906,21008479.75177648,32108707.376453187,2315358.272019883,3542824.402019883,4132140.8766424586,10391343.226723662,12638617.10367373,126879.56783230293,10035080.88088176,17962078.215525977,113560.83377773731,92121.53648044002,92121.53648044002,25354290.646389738,16693269.995028,5949405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5156151.0,0.0
2022-04-30,Intereses,,,,,,,,,,,,,,,,,,,,,,22678278.30650808,34375846.2962212,33067230.28544997,30004511.917492554,27962052.171067826,25043063.503236562,22764945.90009872,20427355.209607802,19811471.463826556,17721016.42822961,15924674.90006933,13545873.61316283,12996656.189519364,10699813.141178338,9289270.810429484,8182459.3110560905,6497249.083267196,6445972.363043604,6319141.547702674,5926709.461307601,5521242.184057856,4640933.147959441,4360646.490220193,3629096.8896691706,3180787.1328877406,3178925.2217763253,3180305.0874314867,2737305.189833146,1657904.6295549935,325964.04385416664,203130.86543749998,202575.86307291666,202575.86307291666,202575.86307291666,203130.86543749998,202575.86307291666,202575.86307291666,202575.86307291666,203130.86543749998,102120.43508333333,0.0
2022-04-30,Total,,,,,,,,,,,,,,,,,,,,,,54226829.97718981,101595700.66774553,83171710.02837114,81042963.7624215,75740893.39292675,84504201.53074214,64221480.990187116,47452293.2875091,57822418.04204477,56566241.09619485,59117711.52034457,35554951.499347344,46705747.229079306,38901896.74981424,30297750.562205963,40291166.687509276,8812607.355287079,9988796.765063487,10451282.424345132,16318052.688031264,18159859.287731588,4767812.715791744,14395727.371101953,21591175.10519515,3294347.966665478,3271046.758256765,3272426.6239119265,28091595.836222883,18351174.624582995,6275369.043854167,203130.86543749998,202575.86307291666,202575.86307291666,202575.86307291666,203130.86543749998,202575.86307291666,202575.86307291666,202575.86307291666,203130.86543749998,5258271.435083333,0.0
2022-05-31,Amortizaciones,,,,,,,,,,,,,,,,,,,,,,22878587.972104944,71081180.10943271,49810741.21570241,54415223.12540351,48272278.5616758,59648220.39236201,41517792.4348841,27547509.250817344,38013415.60857279,40131157.12031124,43178909.23988399,22241381.4074326,33816638.053092316,30381802.029966313,21162266.28548006,32701443.42215849,2469417.0931443647,3680193.172191983,4256753.829890035,10429264.99532254,14244694.200390417,126553.01794699096,9900030.95189902,17719243.65104002,113415.38082419314,92267.59704040937,92267.59704040937,25604737.61761821,16922208.772285957,5868510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5086042.0,0.0
2022-05-31,Intereses,,,,,,,,,,,,,,,,,,,,,,20944067.01490027,34972908.500157245,33705408.51723042,30777743.625584297,28473806.39933905,25736982.262932584,23238549.53569812,21011739.357970465,20284033.128402345,18204475.691110767,16325379.493139545,14093913.879499182,13397941.628568674,11333902.655641645,9514322.713989433,8631928.04982671,6668898.309787283,6618380.711715199,6493389.619474873,6104579.399406489,5702911.230033529,4676780.111285306,4398590.460756395,3675625.4810366253,3233334.65924642,3231498.0648346343,3232859.1682384154,2937468.096474331,1668353.7763905653,321531.8592361111,200368.86295833334,199821.40704861112,199821.40704861112,199821.40704861112,200368.86295833334,199821.40704861112,199821.40704861112,199821.40704861112,200368.86295833334,100731.88738888888,0.0
2022-05-31,Total,,,,,,,,,,,,,,,,,,,,,,43822654.98700522,106054088.60958996,83516149.73293284,85192966.7509878,76746084.96101485,85385202.6552946,64756341.97058222,48559248.608787805,58297448.73697513,58335632.811422005,59504288.73302353,36335295.28693178,47214579.68166099,41715704.685607955,30676588.999469493,41333371.4719852,9138315.402931647,10298573.883907182,10750143.449364908,16533844.39472903,19947605.430423945,4803333.129232297,14298621.412655415,21394869.132076647,3346750.0400706134,3323765.6618750435,3325126.7652788246,28542205.71409254,18590562.54867652,6190041.859236111,200368.86295833334,199821.40704861112,199821.40704861112,199821.40704861112,200368.86295833334,199821.40704861112,199821.40704861112,199821.40704861112,200368.86295833334,5186773.887388889,0.0
2022-06-30,Amortizaciones,,,,,,,,,,,,,,,,,,,,,,9194534.023130441,69916923.58981821,50999712.32731486,56495909.77192347,49286521.29634327,60770878.462256014,42233320.66060944,29057269.74444623,38975135.07220128,44263369.817489326,44175633.58642476,23024153.924539596,34243787.32282391,31393223.84238165,21518091.3036713,34453025.967441246,2597352.780776232,3874706.472680994,4484973.305778345,11000569.892649792,16638993.663311979,131337.00254865945,10442234.564634005,18691406.63028359,117476.95891870034,95166.31027005168,95166.31027005168,26742043.10534785,17397759.031890895,6191205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5365711.0,0.0
2022-06-30,Intereses,,,,,,,,,,,,,,,,,,,,,,17966251.12625191,37206223.31268112,35072082.32744455,31889348.993012145,29588894.66847794,26776366.152998123,24242397.610728633,21977550.675477576,21230776.459908485,19113350.67017495,16995710.43315711,14747501.898584843,14034458.49428663,11955502.318105727,10089924.619931359,9198376.175933268,7145457.821282435,7085052.517337354,6946354.824193332,6530344.465422532,6103665.569987256,4872027.51977095,4578771.162019981,3816244.905700939,3349677.8740980085,3347775.522523612,3349246.702340356,3037648.0312647675,1727193.80411081,339212.1091319444,211386.65627083334,210809.09710069446,210809.09710069446,210809.09710069446,211386.65627083334,210809.09710069446,210809.09710069446,210809.09710069446,211386.65627083334,106270.88730555556,0.0
2022-06-30,Total,,,,,,,,,,,,,,,,,,,,,,27160785.149382353,107123146.90249933,86071794.6547594,88385258.76493561,78875415.9648212,87547244.61525413,66475718.271338075,51034820.419923805,60205911.53210977,63376720.487664275,61171344.01958187,37771655.82312444,48278245.81711054,43348726.160487376,31608015.92360266,43651402.14337452,9742810.602058668,10959758.990018347,11431328.129971677,17530914.358072326,22742659.233299233,5003364.522319609,15021005.726653986,22507651.53598453,3467154.833016709,3442941.8327936633,3444413.0126104075,29779691.136612616,19124952.836001705,6530417.109131944,211386.65627083334,210809.09710069446,210809.09710069446,210809.09710069446,211386.65627083334,210809.09710069446,210809.09710069446,210809.09710069446,211386.65627083334,5471981.887305556,0.0
2022-07-31,Amortizaciones,,,,,,,,,,,,,,,,,,,,,,9246402.507457368,73293559.52493943,52039145.72739896,57378256.42706047,49894771.97121674,61629146.04911594,42754299.10497822,30737857.637144007,39787793.76417186,48303468.80353996,45026717.68624108,23714339.25148096,34709620.35978862,32387431.427133974,21744555.006847646,36017972.28347368,2699838.5315429056,4030678.9934476675,4667611.355537522,11459345.70576577,19054530.053500727,134984.24528225316,10877631.141864326,19472221.686171837,119800.36976065743,96555.50489579256,96555.50489579256,27862616.765153393,17874668.765603505,6450450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5590390.0,0.0
