Fecha,Departamentos,Sexo,Concepto,Periodo,Valor
2012,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2120.713
2013,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2162.45
2014,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2203.325
2015,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2243.85
2016,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2285.616
2017,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2329.621
2018,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2379.635
2019,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2444.529
2020,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2503.965
2021,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2556.439
2022,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2606.538
2023,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2657.774
2024,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2709.468
2025,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2758.483
2007,Antioquia,Hombres,Fuerza de trabajo,Anual,1480.082024
2008,Antioquia,Hombres,Fuerza de trabajo,Anual,1516.462381
2009,Antioquia,Hombres,Fuerza de trabajo,Anual,1595.520204
2010,Antioquia,Hombres,Fuerza de trabajo,Anual,1608.615224
2011,Antioquia,Hombres,Fuerza de trabajo,Anual,1649.984517
2012,Antioquia,Hombres,Fuerza de trabajo,Anual,1688.582169
2013,Antioquia,Hombres,Fuerza de trabajo,Anual,1720.295831
2014,Antioquia,Hombres,Fuerza de trabajo,Anual,1744.185315
2015,Antioquia,Hombres,Fuerza de trabajo,Anual,1740.3009539999998
2016,Antioquia,Hombres,Fuerza de trabajo,Anual,1760.274067
2017,Antioquia,Hombres,Fuerza de trabajo,Anual,1803.938791
2018,Antioquia,Hombres,Fuerza de trabajo,Anual,1816.0066550000001
2019,Antioquia,Hombres,Fuerza de trabajo,Anual,1865.259855
2020,Antioquia,Hombres,Fuerza de trabajo,Anual,1847.436199
2021,Antioquia,Hombres,Fuerza de trabajo,Anual,1917.661
2022,Antioquia,Hombres,Fuerza de trabajo,Anual,2010.279
2023,Antioquia,Hombres,Fuerza de trabajo,Anual,2051.835
2024,Antioquia,Hombres,Fuerza de trabajo,Anual,2084.459
2025,Antioquia,Hombres,Fuerza de trabajo,Anual,2145.495
2007,Antioquia,Hombres,Población ocupada,Anual,1345.485052
2008,Antioquia,Hombres,Población ocupada,Anual,1368.085731
2009,Antioquia,Hombres,Población ocupada,Anual,1429.302933
2010,Antioquia,Hombres,Población ocupada,Anual,1459.9675730000001
2011,Antioquia,Hombres,Población ocupada,Anual,1511.745327
2012,Antioquia,Hombres,Población ocupada,Anual,1549.973091
2013,Antioquia,Hombres,Población ocupada,Anual,1585.063692
2014,Antioquia,Hombres,Población ocupada,Anual,1603.814435
2015,Antioquia,Hombres,Población ocupada,Anual,1598.878031
2016,Antioquia,Hombres,Población ocupada,Anual,1626.0985660000001
2017,Antioquia,Hombres,Población ocupada,Anual,1652.87223
2018,Antioquia,Hombres,Población ocupada,Anual,1654.482149
2019,Antioquia,Hombres,Población ocupada,Anual,1695.6449240000002
2020,Antioquia,Hombres,Población ocupada,Anual,1592.003253
2021,Antioquia,Hombres,Población ocupada,Anual,1698.334
2022,Antioquia,Hombres,Población ocupada,Anual,1851.076
2023,Antioquia,Hombres,Población ocupada,Anual,1907.723
2024,Antioquia,Hombres,Población ocupada,Anual,1927.881
2025,Antioquia,Hombres,Población ocupada,Anual,2017.527
2007,Antioquia,Hombres,Población desocupada,Anual,134.59697200000002
2008,Antioquia,Hombres,Población desocupada,Anual,148.37664999999998
2009,Antioquia,Hombres,Población desocupada,Anual,166.217271
2010,Antioquia,Hombres,Población desocupada,Anual,148.647652
2011,Antioquia,Hombres,Población desocupada,Anual,138.239189
2012,Antioquia,Hombres,Población desocupada,Anual,138.609078
2013,Antioquia,Hombres,Población desocupada,Anual,135.232139
2014,Antioquia,Hombres,Población desocupada,Anual,140.37088
2015,Antioquia,Hombres,Población desocupada,Anual,141.422923
2016,Antioquia,Hombres,Población desocupada,Anual,134.175501
2017,Antioquia,Hombres,Población desocupada,Anual,151.06656099999998
2018,Antioquia,Hombres,Población desocupada,Anual,161.524506
2019,Antioquia,Hombres,Población desocupada,Anual,169.614931
2020,Antioquia,Hombres,Población desocupada,Anual,255.43294699999998
2021,Antioquia,Hombres,Población desocupada,Anual,219.327
2022,Antioquia,Hombres,Población desocupada,Anual,159.202
2023,Antioquia,Hombres,Población desocupada,Anual,144.112
2024,Antioquia,Hombres,Población desocupada,Anual,156.578
2025,Antioquia,Hombres,Población desocupada,Anual,127.969
2007,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,425.448976
2008,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,430.752619
2009,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,394.34979599999997
2010,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,425.008776
2011,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,427.667483
2012,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,432.130831
2013,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,442.15416899999997
2014,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,459.139685
2015,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,503.549046
2016,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,525.3419329999999
2017,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,525.6822090000001
2018,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,563.628345
2019,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,579.269145
2020,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,656.5288009999999
2021,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,638.778
2022,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,596.259
2023,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,605.939
2024,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,625.009
2025,Antioquia,Hombres,Población fuera de la fuerza de trabajo,Anual,612.988
2007,Antioquia,Hombres,Población subocupada,Anual,125.749833
2008,Antioquia,Hombres,Población subocupada,Anual,143.796587
2009,Antioquia,Hombres,Población subocupada,Anual,191.323982
2010,Antioquia,Hombres,Población subocupada,Anual,197.28757000000002
2011,Antioquia,Hombres,Población subocupada,Anual,157.70735399999998
2012,Antioquia,Hombres,Población subocupada,Anual,200.631421
2013,Antioquia,Hombres,Población subocupada,Anual,178.623767
2014,Antioquia,Hombres,Población subocupada,Anual,144.171951
2015,Antioquia,Hombres,Población subocupada,Anual,131.69744500000002
2016,Antioquia,Hombres,Población subocupada,Anual,142.943557
2017,Antioquia,Hombres,Población subocupada,Anual,147.747285
2018,Antioquia,Hombres,Población subocupada,Anual,162.855131
2019,Antioquia,Hombres,Población subocupada,Anual,179.547344
2020,Antioquia,Hombres,Población subocupada,Anual,0.0
2021,Antioquia,Hombres,Población subocupada,Anual,101.925
2022,Antioquia,Hombres,Población subocupada,Anual,102.528
2023,Antioquia,Hombres,Población subocupada,Anual,113.702
2024,Antioquia,Hombres,Población subocupada,Anual,108.089
2025,Antioquia,Hombres,Población subocupada,Anual,116.834
2007,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2008,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2009,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2010,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2011,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2012,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2013,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2014,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2015,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2016,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2017,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2018,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2019,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2020,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,0.0
2021,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,44.058
2022,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,58.763
2023,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,57.025
2024,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,48.652
2025,Antioquia,Hombres,Fuerza de trabajo potencial,Anual,43.704
2007,Atlántico,Hombres,% población en edad de trabajar,Anual,69.104980297
2008,Atlántico,Hombres,% población en edad de trabajar,Anual,69.483412672
2009,Atlántico,Hombres,% población en edad de trabajar,Anual,69.860430792
2010,Atlántico,Hombres,% población en edad de trabajar,Anual,70.236905211
2011,Atlántico,Hombres,% población en edad de trabajar,Anual,70.618313886
2012,Atlántico,Hombres,% población en edad de trabajar,Anual,71.013623877
2013,Atlántico,Hombres,% población en edad de trabajar,Anual,71.424671651
2014,Atlántico,Hombres,% población en edad de trabajar,Anual,71.844797503
2015,Atlántico,Hombres,% población en edad de trabajar,Anual,72.270712774
2016,Atlántico,Hombres,% población en edad de trabajar,Anual,72.686799852
2017,Atlántico,Hombres,% población en edad de trabajar,Anual,73.072230184
2018,Atlántico,Hombres,% población en edad de trabajar,Anual,73.378539195
2019,Atlántico,Hombres,% población en edad de trabajar,Anual,73.66953417
2020,Atlántico,Hombres,% población en edad de trabajar,Anual,73.946365649
2021,Atlántico,Hombres,% población en edad de trabajar,Anual,74.247267281
2022,Atlántico,Hombres,% población en edad de trabajar,Anual,74.532929558
2023,Atlántico,Hombres,% población en edad de trabajar,Anual,74.834148575
2024,Atlántico,Hombres,% población en edad de trabajar,Anual,75.367763996
2025,Atlántico,Hombres,% población en edad de trabajar,Anual,75.757696987
2007,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,75.624698329
2008,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,75.995819182
2009,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,76.242353742
2010,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,75.820738107
2011,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,76.951097055
2012,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,76.507322946
2013,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,76.249274756
2014,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,76.786709418
2015,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,77.307417716
2016,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,76.675048329
2017,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,75.923425445
2018,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,75.87719448
2019,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,75.224660105
2020,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,71.963379483
2021,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,76.088032377
2022,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,77.682836024
2023,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,76.867763634
2024,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,75.4668799
2025,Atlántico,Hombres,Tasa Global de Participación (TGP),Anual,76.230551092
2007,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,69.006294257
2008,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,69.429991961
2009,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,70.280554445
2010,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,70.450868963
2011,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,72.606001078
2012,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,72.296195754
2013,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,72.287484308
2014,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,72.739981768
2015,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,73.337343274
2016,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,72.681461933
2017,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,72.371445745
2018,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,72.136189189
2019,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,71.556379383
2020,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,66.020293126
2021,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,67.760510615
2022,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,72.050945657
2023,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,72.235309336
2024,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,70.521251726
2025,Atlántico,Hombres,Tasa de Ocupación (TO),Anual,71.407352107
2007,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,8.751643601
2008,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,8.639721622
2009,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,7.81953731
2010,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,7.082322433
2011,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,5.646567942
2012,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,5.504214538
2013,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,5.195840171
2014,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,5.270088641
2015,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,5.135437917
2016,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,5.208456314
2017,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,4.67837124
2018,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,4.930342136
2019,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,4.876433762
2020,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,8.258487024
2021,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,10.944588133
2022,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,7.249851647
2023,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,6.026524097
2024,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,6.553375706
2025,Atlántico,Hombres,Tasa de Desocupación (TD),Anual,6.327120709
2007,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,11.091739716
2008,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,7.558602129
2009,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,7.862286887
2010,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,9.344465852
2011,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,13.49757242
2012,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,13.318061184
2013,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,11.275410481
2014,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,10.750591358
2015,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,13.920216713
2016,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,11.877339093
2017,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,11.953656553
2018,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,13.899381561
2019,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,14.895160284
2020,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,0.0
2021,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,13.412386809
2022,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,15.164505448
2023,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,11.295211586
2024,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,9.079357172
2025,Atlántico,Hombres,Tasa de Subocupación (TS),Anual,8.374902016
2007,Atlántico,Hombres,Población total,Anual,1054.636
2008,Atlántico,Hombres,Población total,Anual,1069.461
2009,Atlántico,Hombres,Población total,Anual,1084.05
2010,Atlántico,Hombres,Población total,Anual,1098.414
2011,Atlántico,Hombres,Población total,Anual,1112.38
2012,Atlántico,Hombres,Población total,Anual,1125.891
2013,Atlántico,Hombres,Población total,Anual,1139.259
2014,Atlántico,Hombres,Población total,Anual,1152.533
2015,Atlántico,Hombres,Población total,Anual,1166.092
2016,Atlántico,Hombres,Población total,Anual,1182.161
2017,Atlántico,Hombres,Población total,Anual,1202.309
2018,Atlántico,Hombres,Población total,Anual,1232.731
2019,Atlántico,Hombres,Población total,Anual,1282.765
2020,Atlántico,Hombres,Población total,Anual,1324.487
2021,Atlántico,Hombres,Población total,Anual,1349.823
2022,Atlántico,Hombres,Población total,Anual,1366.795
2023,Atlántico,Hombres,Población total,Anual,1382.6
2024,Atlántico,Hombres,Población total,Anual,1397.754
2025,Atlántico,Hombres,Población total,Anual,1412.3
2007,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,728.806
2008,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,743.098
2009,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,757.322
2010,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,771.492
2011,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,785.544
2012,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,799.536
2013,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,813.712
2014,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,828.035
2015,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,842.743
2016,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,859.275
2017,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,878.554
2018,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,904.56
2019,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,945.007
2020,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,979.41
2021,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,1002.207
2022,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,1018.712
2023,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,1034.657
2024,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,1053.456
2025,Atlántico,Hombres,Población en edad de trabajar (PET),Anual,1069.926
2007,Atlántico,Hombres,Fuerza de trabajo,Anual,551.1573390000001
2008,Atlántico,Hombres,Fuerza de trabajo,Anual,564.723412
2009,Atlántico,Hombres,Fuerza de trabajo,Anual,577.400118
2010,Atlántico,Hombres,Fuerza de trabajo,Anual,584.950929
2011,Atlántico,Hombres,Fuerza de trabajo,Anual,604.484726
2012,Atlántico,Hombres,Fuerza de trabajo,Anual,611.70359
2013,Atlántico,Hombres,Fuerza de trabajo,Anual,620.449499
2014,Atlántico,Hombres,Fuerza de trabajo,Anual,635.820829
2015,Atlántico,Hombres,Fuerza de trabajo,Anual,651.5028510000001
2016,Atlántico,Hombres,Fuerza de trabajo,Anual,658.849522
2017,Atlántico,Hombres,Fuerza de trabajo,Anual,667.028291
2018,Atlántico,Hombres,Fuerza de trabajo,Anual,686.35475
2019,Atlántico,Hombres,Fuerza de trabajo,Anual,710.878304
2020,Atlántico,Hombres,Fuerza de trabajo,Anual,704.816535
2021,Atlántico,Hombres,Fuerza de trabajo,Anual,762.56
