Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2022,Total cabeceras,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,304.905
2023,Total cabeceras,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,300.578
2024,Total cabeceras,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,244.153
2025,Total cabeceras,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,257.502
2022,Total cabeceras,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,349.192
2023,Total cabeceras,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,342.16
2024,Total cabeceras,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,289.453
2025,Total cabeceras,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,305.719
2022,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil (TTI),IV,3.2886193948
2023,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil (TTI),IV,2.3780685659
2024,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil (TTI),IV,2.5616856626
2025,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil (TTI),IV,1.7656364476
2022,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,8.7446500173
2023,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,8.4765071602
2024,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,8.9777689581
2025,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,6.9835127274
2022,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,10.376624029
2023,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,10.753718321
2024,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,10.327444566
2025,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,8.7174442339
2022,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil (TTI),IV,19.292661959
2023,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil (TTI),IV,19.020884238
2024,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil (TTI),IV,17.443361045
2025,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil (TTI),IV,16.315118434
2022,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,39.677650553
2023,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,38.934601356
2024,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,36.569595161
2025,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,39.319772999
2022,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,42.527770162
2023,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,40.950332045
2024,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,38.624561223
2025,Total centros poblados y rural disperso,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,41.542227385
2022,Total centros poblados y rural disperso,Total,Población de 5 a 14 años,IV,2217.419
2023,Total centros poblados y rural disperso,Total,Población de 5 a 14 años,IV,2146.354
2024,Total centros poblados y rural disperso,Total,Población de 5 a 14 años,IV,2202.149
2025,Total centros poblados y rural disperso,Total,Población de 5 a 14 años,IV,2265.844
2022,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que trabaja,IV,72.922
2023,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que trabaja,IV,51.042
2024,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que trabaja,IV,56.412
2025,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que trabaja,IV,40.007
2022,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,120.983
2023,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,130.894
2024,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,141.292
2025,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,118.229
2022,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,157.171
2023,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,179.771
2024,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,171.014
2025,Total centros poblados y rural disperso,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,157.517
2022,Total centros poblados y rural disperso,Total,Población de 15 a 17 años,IV,687.389
2023,Total centros poblados y rural disperso,Total,Población de 15 a 17 años,IV,666.69
2024,Total centros poblados y rural disperso,Total,Población de 15 a 17 años,IV,673.133
2025,Total centros poblados y rural disperso,Total,Población de 15 a 17 años,IV,708.856
2022,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que trabaja,IV,132.616
2023,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que trabaja,IV,126.81
2024,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que trabaja,IV,117.417
2025,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que trabaja,IV,115.651
2022,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,140.124
2023,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,132.763
2024,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,128.745
2025,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,163.07
2022,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,159.716
2023,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,146.201
2024,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,142.578
2025,Total centros poblados y rural disperso,Total,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,178.824
