Fecha,USD,EUR,JPY,CHF,UVR (COP),COP,% Moneda local,% Moneda extranjera
2002-10-31,42.287508267157435,6.165236706651107,2.5010100911472475,0.0,14.044231451198593,35.002013483845595,49.04624493504419,50.953755064955786
2002-11-30,42.144066165979325,6.5602413910488835,2.0513648125385147,0.0,14.119289382840622,35.12503824759266,49.24432763043329,50.75567236956672
2002-12-31,42.90080585067678,6.8586835197087925,2.0888899928020805,0.0,13.58876059127237,34.56286004553999,48.15162063681237,51.84837936318766
2003-01-31,44.349611341986,6.855060500032442,2.0197927878093473,0.0,13.233888438306765,33.54164693186544,46.77553537017221,53.22446462982779
2003-02-28,44.326815133737256,6.953569165088956,2.070000041200313,0.0,13.751453099850716,32.89816256012277,46.649615659973485,53.35038434002652
2003-03-31,43.48178375648947,6.8463484974609345,1.9841368085438909,0.0,14.280521095253093,33.40720984225261,47.6877309375057,52.31226906249429
2003-04-30,44.00277881924824,6.673258687811407,1.8791406088976175,0.0,14.142797946480098,33.302023937562616,47.44482188404271,52.55517811595727
2003-05-31,43.119411907572854,6.911483923764485,1.8685951505494216,0.0,14.287327159376966,33.81318185873627,48.10050901811324,51.899490981886764
2003-06-30,41.87493881867393,6.763028765704289,1.8753515272389387,0.0,15.001379977783328,34.485300910599506,49.486680888382836,50.513319111617164
2003-07-31,42.319908582039844,6.658406943635731,1.6079358843788003,0.0,14.83129764506197,34.58245094488366,49.413748589945634,50.58625141005437
2003-08-31,42.18930575065003,6.391879175422366,1.623757086112617,0.0,14.839878216114084,34.95517977170092,49.795057987815,50.204942012185015
2003-09-30,42.671495656699335,6.672704454445416,1.6675737675901674,0.0,14.573617310300671,34.41460881096442,48.988226121265086,51.011773878734914
2003-10-31,42.75482808675946,6.593233509331944,1.6898446479955351,0.0,14.560312353659786,34.40178140225328,48.96209375591306,51.03790624408694
2003-11-30,42.30376580765391,6.602581777998251,1.6545036735930057,0.0,14.528658062719476,34.91049067803536,49.43914874075483,50.56085125924517
2003-12-31,41.528962458035515,6.724750110225059,1.6379472724811674,0.0,14.633348408071262,35.474991751187,50.108340159258255,49.891659840741745
2004-01-31,41.612496523077716,6.504486580343769,1.6011920613972652,0.0,15.067826957257536,35.21399787792372,50.28182483518124,49.71817516481875
2004-02-29,40.558853187170364,6.366274098434199,1.5188493298618024,0.0,15.166476995340158,36.38954638919346,51.556023384533624,48.44397661546637
2004-03-31,39.17443182892995,6.543724654249093,1.532976935506742,0.0,15.219988555054966,37.528878026259264,52.748866581314225,47.25113341868578
2004-04-30,39.068331671406085,6.322640053458743,1.4518023277588832,0.0,15.476297119295603,37.680928828080674,53.157225947376276,46.84277405262372
2004-05-31,39.8485485459054,6.564318112614857,1.4779721023736303,0.0,14.70666863020421,37.4024926089019,52.109161239106115,47.89083876089389
2004-06-30,40.06581822732013,6.516778602923212,1.4779278446804565,0.0,14.82472409325031,37.11475123182589,51.9394753250762,48.06052467492379
2004-07-31,39.43463493665658,6.245052231924525,0.7970821260088394,0.0,14.919279026470747,38.60395167893931,53.523230705410064,46.47676929458994
2004-08-31,38.54757139157547,6.136048168269357,0.7771544572266629,0.0,15.111390498027353,39.42783548490117,54.53922598292853,45.460774017071486
2004-09-30,39.237229092051784,6.2035305297157795,0.7475121300620631,0.0,14.756957583814307,39.054770664356084,53.81172824817039,46.188271751829625
2004-10-31,38.82657436762826,6.3207754504124205,0.7661532781012785,0.0,14.945031957201554,39.1414649466565,54.08649690385805,45.91350309614196
2004-11-30,37.44284344682417,6.310456596888948,0.7641957501877854,0.0,15.1086625968028,40.37384160929629,55.482504206099094,44.5174957939009
2004-12-31,36.61820130803095,6.2659268687975045,0.7324014220630087,0.0,15.227436775178283,41.15603362593025,56.38347040110854,43.61652959889146
2005-01-31,35.479547573910565,5.823385290393284,0.6900129001754873,0.0,15.458928241315245,42.54812599420542,58.00705423552066,41.99294576447933
2005-02-28,34.3153804151867,5.722447690885655,0.6542352282810131,0.0,15.59239535891422,43.715541306732405,59.30793666564663,40.69206333435337
2005-03-31,34.27634433812115,5.608670180082562,0.6337020910689656,0.0,15.498839776964699,43.98244361376262,59.48128339072731,40.51871660927268
2005-04-30,31.47838872417693,5.526223847406279,0.6287698582799426,0.0,15.80135826296621,46.56525930717063,62.36661757013684,37.633382429863154
2005-05-31,31.689056297436853,5.2319834602990705,0.6181514788632012,0.0,16.01641898951168,46.4443897738892,62.46080876340088,37.53919123659912
2005-06-30,31.131406537061373,4.568031284393286,0.6048851310200823,0.0,15.538947205075962,48.156729842449295,63.69567704752526,36.30432295247474
2005-07-31,31.113259782026454,4.569551310709492,0.5630358896598859,0.0,15.464515811370374,48.28963720623381,63.75415301760419,36.24584698239583
2005-08-31,30.910634148751953,4.876813390893545,0.5544041209859992,0.0,15.453736378333618,48.204411961034886,63.6581483393685,36.341851660631505
2005-09-30,30.6304093285162,4.193390732194131,0.5427679922765033,0.0,15.822869099197112,48.810562847816044,64.63343194701316,35.366568052986835
2005-10-31,30.41634930803154,3.3415260737030654,0.5195150606561671,0.0,15.628214556051637,50.09439500155759,65.72260955760922,34.27739044239077
2005-11-30,29.921639864428514,3.214976548682548,0.5021271353372824,0.0,15.82478809232273,50.536468359228934,66.36125645155167,33.63874354844834
2005-12-31,29.48515819554699,3.129071919934297,0.807055037715041,0.0,15.510485230804433,51.06822961599925,66.57871484680369,33.42128515319633
2006-01-31,28.589438530953775,3.1456927867419404,0.7842051285730289,0.0,15.675236027942955,51.80542752578832,67.48066355373126,32.519336446268746
2006-02-28,27.955974490087932,3.0167441019617844,0.7623012137058883,0.0,15.586732178136645,52.67824801610775,68.2649801942444,31.735019805755606
2006-03-31,26.562280235326046,2.8146321568095116,0.7544205637071677,0.0,15.71315152297948,54.1555155211778,69.86866704415729,30.131332955842726
2006-04-30,27.67625719348283,3.0454920194538304,0.8055670475888461,0.0,16.095345343625556,52.37733839584894,68.47268373947449,31.527316260525506
2006-05-31,28.454887821795026,3.1495216284699694,0.8364493124467286,0.0,16.000361204555,51.558780032733274,67.55914123728827,32.44085876271173
