Fecha,Perspectiva,Grupo,Concepto,Periodo,Valor
2021,Total nacional,Población ocupada,Empresa mediana,Abr - Jun,1694.567191
2021,Total nacional,Población ocupada,Empresa mediana,May - Jul,1726.5578240000002
2021,Total nacional,Población ocupada,Empresa mediana,Jun - Ago,1667.225126
2021,Total nacional,Población ocupada,Empresa mediana,Jul - Sep,1627.8838159999998
2021,Total nacional,Población ocupada,Empresa mediana,Ago - Oct,1647.911296
2021,Total nacional,Población ocupada,Empresa mediana,Sep - Nov,1721.3311763333334
2021,Total nacional,Población ocupada,Empresa mediana,Oct - Dic,1750.249075
2021,Total nacional,Población ocupada,Empresa mediana,Nov - Ene,1740.6755036666666
2021,Total nacional,Población ocupada,Empresa mediana,Dic - Feb,1667.8255466666667
2022,Total nacional,Población ocupada,Empresa mediana,Ene - Mar,1574.6386223333332
2022,Total nacional,Población ocupada,Empresa mediana,Feb - Abr,1541.6024853333336
2022,Total nacional,Población ocupada,Empresa mediana,Mar - May,1571.6271246666665
2022,Total nacional,Población ocupada,Empresa mediana,Abr - Jun,1584.452552
2022,Total nacional,Población ocupada,Empresa mediana,May - Jul,1544.4416703333334
2022,Total nacional,Población ocupada,Empresa mediana,Jun - Ago,1543.1225926666666
2022,Total nacional,Población ocupada,Empresa mediana,Jul - Sep,1514.5498186666666
2022,Total nacional,Población ocupada,Empresa mediana,Ago - Oct,1562.9990316666665
2022,Total nacional,Población ocupada,Empresa mediana,Sep - Nov,1590.2369850000002
2022,Total nacional,Población ocupada,Empresa mediana,Oct - Dic,1677.0168753333335
2022,Total nacional,Población ocupada,Empresa mediana,Nov - Ene,1676.5795783333333
2022,Total nacional,Población ocupada,Empresa mediana,Dic - Feb,1607.1677433333334
2023,Total nacional,Población ocupada,Empresa mediana,Ene - Mar,1585.9543556666667
2023,Total nacional,Población ocupada,Empresa mediana,Feb - Abr,1551.308678333333
2023,Total nacional,Población ocupada,Empresa mediana,Mar - May,1596.950234
2023,Total nacional,Población ocupada,Empresa mediana,Abr - Jun,1596.8757356666665
2023,Total nacional,Población ocupada,Empresa mediana,May - Jul,1610.9592433333335
2023,Total nacional,Población ocupada,Empresa mediana,Jun - Ago,1607.9988653333332
2023,Total nacional,Población ocupada,Empresa mediana,Jul - Sep,1608.4389993333334
2023,Total nacional,Población ocupada,Empresa mediana,Ago - Oct,1637.1958016666667
2023,Total nacional,Población ocupada,Empresa mediana,Sep - Nov,1596.9729783333332
2023,Total nacional,Población ocupada,Empresa mediana,Oct - Dic,1562.4569136666667
2023,Total nacional,Población ocupada,Empresa mediana,Nov - Ene,1594.42012
2023,Total nacional,Población ocupada,Empresa mediana,Dic - Feb,1601.3888473333334
2024,Total nacional,Población ocupada,Empresa mediana,Ene - Mar,1615.269631
2024,Total nacional,Población ocupada,Empresa mediana,Feb - Abr,1547.1822843333332
2024,Total nacional,Población ocupada,Empresa mediana,Mar - May,1593.6746123333332
2024,Total nacional,Población ocupada,Empresa mediana,Abr - Jun,1607.3763073333332
2024,Total nacional,Población ocupada,Empresa mediana,May - Jul,1651.9971613333335
2024,Total nacional,Población ocupada,Empresa mediana,Jun - Ago,1622.6554800000001
2024,Total nacional,Población ocupada,Empresa mediana,Jul - Sep,1617.1718883333333
2024,Total nacional,Población ocupada,Empresa mediana,Ago - Oct,1603.387495
2024,Total nacional,Población ocupada,Empresa mediana,Sep - Nov,1564.0327506666665
2024,Total nacional,Población ocupada,Empresa mediana,Oct - Dic,1532.8220220000003
