Fecha,Perspectiva,Concepto,Valor
2025,Total cabeceras,Otras ramas*,28.342
2022,Total cabeceras,No informa,0.0
2023,Total cabeceras,No informa,0.0
2024,Total cabeceras,No informa,0.0
2025,Total cabeceras,No informa,0.0
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,205.538
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,177.852
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,173.829
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,155.657
2022,Total centros poblados y rural disperso,"Agricultura, ganadería, caza, silvicultura y pesca",122.548
2023,Total centros poblados y rural disperso,"Agricultura, ganadería, caza, silvicultura y pesca",113.326
2024,Total centros poblados y rural disperso,"Agricultura, ganadería, caza, silvicultura y pesca",103.715
2025,Total centros poblados y rural disperso,"Agricultura, ganadería, caza, silvicultura y pesca",107.699
2022,Total centros poblados y rural disperso,Industrias manufactureras,29.131
2023,Total centros poblados y rural disperso,Industrias manufactureras,13.712
2024,Total centros poblados y rural disperso,Industrias manufactureras,23.924
2025,Total centros poblados y rural disperso,Industrias manufactureras,10.512
2022,Total centros poblados y rural disperso,Construcción,5.125
2023,Total centros poblados y rural disperso,Construcción,1.98
2024,Total centros poblados y rural disperso,Construcción,3.98
2025,Total centros poblados y rural disperso,Construcción,2.829
2022,Total centros poblados y rural disperso,Comercio y reparación de vehículos,23.794
2023,Total centros poblados y rural disperso,Comercio y reparación de vehículos,25.338
2024,Total centros poblados y rural disperso,Comercio y reparación de vehículos,16.783
2025,Total centros poblados y rural disperso,Comercio y reparación de vehículos,12.705
2022,Total centros poblados y rural disperso,Alojamiento y servicios de comida,7.981
2023,Total centros poblados y rural disperso,Alojamiento y servicios de comida,1.075
2024,Total centros poblados y rural disperso,Alojamiento y servicios de comida,7.904
2025,Total centros poblados y rural disperso,Alojamiento y servicios de comida,9.642
2022,Total centros poblados y rural disperso,Transporte y almacenamiento,3.908
2023,Total centros poblados y rural disperso,Transporte y almacenamiento,4.776
2024,Total centros poblados y rural disperso,Transporte y almacenamiento,4.181
2025,Total centros poblados y rural disperso,Transporte y almacenamiento,5.168
2022,Total centros poblados y rural disperso,Otras ramas*,13.051
2023,Total centros poblados y rural disperso,Otras ramas*,17.645
2024,Total centros poblados y rural disperso,Otras ramas*,13.341
2025,Total centros poblados y rural disperso,Otras ramas*,7.102
2022,Total centros poblados y rural disperso,No informa,0.0
2023,Total centros poblados y rural disperso,No informa,0.0
2024,Total centros poblados y rural disperso,No informa,0.0
2025,Total centros poblados y rural disperso,No informa,0.0
