Fecha,Perspectiva,Grupo,Concepto,Valor
2022,Total nacional,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,365.959
2023,Total nacional,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,323.368
2024,Total nacional,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,326.618
2025,Total nacional,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,303.35
2022,Total nacional,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,476.898
2023,Total nacional,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,442.102
2024,Total nacional,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,418.07
2025,Total nacional,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,394.207
2022,Total nacional,15 a 17 años,Población de 15 a 17 años,2505.554
2023,Total nacional,15 a 17 años,Población de 15 a 17 años,2496.474
2024,Total nacional,15 a 17 años,Población de 15 a 17 años,2557.299
2025,Total nacional,15 a 17 años,Población de 15 a 17 años,2510.453
2022,Total nacional,15 a 17 años,Población de 15 a 17 años que trabaja,258.99
2023,Total nacional,15 a 17 años,Población de 15 a 17 años que trabaja,239.104
2024,Total nacional,15 a 17 años,Población de 15 a 17 años que trabaja,222.646
2025,Total nacional,15 a 17 años,Población de 15 a 17 años que trabaja,242.045
2022,Total nacional,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,445.029
2023,Total nacional,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,433.341
2024,Total nacional,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,372.898
2025,Total nacional,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,420.572
2022,Total nacional,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,508.907
2023,Total nacional,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,488.361
2024,Total nacional,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,432.03
2025,Total nacional,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,484.543
2022,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil (TTI),0.62377485589
2023,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil (TTI),0.33613769907
2024,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil (TTI),0.51919671031
2025,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil (TTI),0.31725239769
2022,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),4.701919104
2023,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),3.5337565015
2024,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),3.5717917546
2025,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),3.3338625665
2022,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),5.9463208824
2023,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),4.6943138538
2024,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),4.5885791271
2025,Total cabeceras,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),4.1741862697
2022,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil (TTI),6.9506307365
2023,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil (TTI),6.1370196318
2024,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil (TTI),5.5848959406
2025,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil (TTI),7.0156684616
2022,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),23.720555161
2023,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),22.563989331
2024,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),18.543048178
2025,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),21.308655292
2022,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),26.156347259
2023,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),24.836497377
2024,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),20.947277924
2025,Total cabeceras,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),23.984996453
2022,Total cabeceras,5 a 14 años,Población de 5 a 14 años,6007.036
2023,Total cabeceras,5 a 14 años,Población de 5 a 14 años,6019.292
2024,Total cabeceras,5 a 14 años,Población de 5 a 14 años,6071.091
2025,Total cabeceras,5 a 14 años,Población de 5 a 14 años,6136.734
2022,Total cabeceras,5 a 14 años,Población de 5 a 14 años que trabaja,37.47
2023,Total cabeceras,5 a 14 años,Población de 5 a 14 años que trabaja,20.233
2024,Total cabeceras,5 a 14 años,Población de 5 a 14 años que trabaja,31.521
2025,Total cabeceras,5 a 14 años,Población de 5 a 14 años que trabaja,19.469
2022,Total cabeceras,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,244.976
2023,Total cabeceras,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,192.474
2024,Total cabeceras,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,185.326
2025,Total cabeceras,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,185.121
2022,Total cabeceras,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,319.727
2023,Total cabeceras,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,262.331
2024,Total cabeceras,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,247.056
2025,Total cabeceras,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,236.69
2022,Total cabeceras,15 a 17 años,Población de 15 a 17 años,1818.165
2023,Total cabeceras,15 a 17 años,Población de 15 a 17 años,1829.784
2024,Total cabeceras,15 a 17 años,Población de 15 a 17 años,1884.165
2025,Total cabeceras,15 a 17 años,Población de 15 a 17 años,1801.597
2022,Total cabeceras,15 a 17 años,Población de 15 a 17 años que trabaja,126.374
2023,Total cabeceras,15 a 17 años,Población de 15 a 17 años que trabaja,112.294
2024,Total cabeceras,15 a 17 años,Población de 15 a 17 años que trabaja,105.229
2025,Total cabeceras,15 a 17 años,Población de 15 a 17 años que trabaja,126.394
2022,Total cabeceras,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,304.905
2023,Total cabeceras,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,300.578
2024,Total cabeceras,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,244.153
2025,Total cabeceras,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,257.502
2022,Total cabeceras,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,349.192
2023,Total cabeceras,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,342.16
2024,Total cabeceras,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,289.453
2025,Total cabeceras,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,305.719
2022,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil (TTI),3.2886193948
2023,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil (TTI),2.3780685659
2024,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil (TTI),2.5616856626
2025,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil (TTI),1.7656364476
2022,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),8.7446500173
2023,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),8.4765071602
2024,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),8.9777689581
2025,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),6.9835127274
2022,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),10.376624029
2023,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),10.753718321
2024,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),10.327444566
2025,Total centros poblados y rural disperso,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),8.7174442339
2022,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil (TTI),19.292661959
2023,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil (TTI),19.020884238
2024,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil (TTI),17.443361045
2025,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil (TTI),16.315118434
2022,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),39.677650553
2023,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),38.934601356
2024,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),36.569595161
2025,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),39.319772999
2022,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),42.527770162
2023,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),40.950332045
2024,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),38.624561223
2025,Total centros poblados y rural disperso,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),41.542227385
2022,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años,2217.419
2023,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años,2146.354
2024,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años,2202.149
2025,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años,2265.844
2022,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que trabaja,72.922
2023,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que trabaja,51.042
2024,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que trabaja,56.412
2025,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que trabaja,40.007
2022,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,120.983
2023,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,130.894
2024,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,141.292
2025,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,118.229
2022,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,157.171
2023,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,179.771
2024,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,171.014
2025,Total centros poblados y rural disperso,5 a 14 años,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,157.517
2022,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años,687.389
2023,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años,666.69
2024,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años,673.133
2025,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años,708.856
2022,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que trabaja,132.616
2023,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que trabaja,126.81
2024,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que trabaja,117.417
2025,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que trabaja,115.651
2022,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,140.124
2023,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,132.763
2024,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,128.745
2025,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,163.07
2022,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,159.716
2023,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,146.201
2024,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,142.578
2025,Total centros poblados y rural disperso,15 a 17 años,Población de 15 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,178.824
