Fecha,Concepto,Rama,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2018,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-0.6641737295330756,-1.5342283610186342,-0.5457011131681213,0.12949431414814683,0.2703215721555665,-0.19789687895546137,0.06329619321539326,-0.10864197721190294,-0.1464928387871538,-0.2729163460837327,-0.0439871955202733,0.13886442065542326
2019,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",4.2314588051798125,3.303987175047169,1.9891512827806537,2.2574069833141834,2.461946784502558,1.9865246027606958,1.9145495018188825,1.9106115450874057,1.8599532008473716,2.2502679347010712,2.3202165941891337,2.33258478128144
2020,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",1.9335076105719224,2.942716347543282,0.9043158640438946,-2.1872749505335065,-4.0964101986799335,-4.655509361426482,-5.045363727266221,-5.513942054878612,-5.5433553753001235,-5.885369061314407,-6.22256425753875,-5.960459119178779
2021,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-8.859318844661644,-7.915783807761642,-3.162485233329008,0.5130989172892981,0.19116850166471977,1.2768568814959025,1.4971429718212903,1.4810170842342103,1.9641626183474585,2.175581882423856,2.7644521319660527,2.7626329429728287
2022,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",1.9378357547934257,1.9448843035008565,-0.12525384040725385,-0.4855716352362549,1.3950218424566145,1.1456473907917228,1.1877293021695294,1.7186739529612112,1.2619462376808315,0.9101755612799707,0.41489225842627775,0.05964838844711551
2023,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",3.028190448903416,1.6200851940782286,1.9385537572347573,0.7441799951049148,1.0335626193683964,1.3024798775702209,1.2870388792225498,1.1696879327687668,1.3656290618651639,1.571946433855615,2.0400551621707166,2.06448644069566
2024,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",6.127533489864618,5.203622671830871,1.6999147548467164,2.8505483584214204,2.7627489363748765,2.105337584843994,2.796444064023973,2.7788849978474417,2.528681264869519,2.7349667990768722,2.297832955257718,2.389564611490826
2025,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-1.4575872948766886,-0.5431568764572461,1.5708250231084548,1.2217394319525425,0.40727903869535,0.6544184101337578,0.33724294884285655,0.28547833031993264,0.5859542017946069,0.5363161972708355,0.29783101425253733,-0.006652300221233531
2026,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-3.3277249771053192,-3.0578595027110396,-1.4869688199381557,-1.6965428151572013,-1.210529041913503,-0.9242159661876315,,,,,,
2006,Actividades secundarias,Industrias manufactureras; Construcción,2.911673786506924,3.8109032574471087,4.734950573859464,4.079505655312943,5.117494839682422,5.284012721779646,5.712764497074275,6.391663056015815,7.291808520453884,7.876238707230783,8.54287294814877,8.313547993717904
2007,Actividades secundarias,Industrias manufactureras; Construcción,9.75107565670848,9.153108710050347,9.096401171648736,8.954149845524427,9.171492164027725,9.386324023963425,9.203549096931994,8.710373730654169,8.039886891239291,8.046969458286398,7.759763774096413,7.579918778141831
2008,Actividades secundarias,Industrias manufactureras; Construcción,6.262492800506607,6.189982086550216,4.0394006024042,5.435881845221033,4.766682693908393,4.560777352247555,5.0802092409209365,4.785585613066743,4.778379217018312,4.109316946026979,3.1049695171039104,2.548144389563049
2009,Actividades secundarias,Industrias manufactureras; Construcción,-6.218039871465251,-5.378551456558995,-3.946227812455021,-3.92626576077555,-3.2711023489284656,-3.1002430032235964,-3.021900393860861,-3.2851631859995507,-3.327029369438449,-2.918756586683969,-2.4392670257192464,-2.053423015965052
2010,Actividades secundarias,Industrias manufactureras; Construcción,1.7124931305438054,1.6505856166109965,2.061500524895493,1.1627384817612665,0.4724282619705775,0.4049040949005729,-0.2268896370809017,-0.11995236251975427,0.137995062310182,0.2959074565066686,0.7452741315203752,1.165847074331623
