Fecha,Duración - Deuda interna,Duración - Deuda externa,Duración - Deuda total,Vida media - Deuda interna,Vida media - Deuda externa,Vida media - Deuda total,Cupón promedio (%) - Deuda interna (COP),Cupón promedio (%) - Deuda externa (USD),Cupón promedio (%) - Deuda Total
2006-12-31,2.736173293873181,5.349968553562872,3.6716070644419707,3.873940611517488,9.182986543730967,5.773959687641662,11.6467144507102,7.442606354506258,10.142134214851284
2007-01-31,2.754697931484536,5.306991612158938,3.661048865073317,3.918710799886111,9.226550738363178,5.8035901615383105,11.710932460310012,7.468491957556432,10.204389565391452
2007-02-28,2.783157287357445,5.439115791474805,3.6958179767954316,3.932507199525901,9.299057097926282,5.776601948214424,11.7703647108246,7.402437088070052,10.269424154178678
2007-03-31,2.9230475124634365,5.406194677688288,3.7777523251707263,4.131926739050198,9.229288298056575,5.886449997923329,11.573845490415156,7.40750781548358,10.139782736504529
2007-04-30,2.9004666951994906,5.3730479595093,3.729438256111451,4.0848705478082605,9.141966182071126,5.780340994878136,11.655763569719996,7.3943235216919865,10.227049108708092
2007-05-01,2.944891629616001,5.343804429077972,3.6929019644014573,4.1658569479090914,9.054134921491732,5.69008177357345,11.4758043732168,7.4407134302376425,10.21761369291173
2007-06-01,2.915869644599495,5.626593657713143,3.7665071702396977,4.094333869896299,9.777076000897019,5.877604199808385,11.350393623237888,7.275828500440679,10.071776553647343
2007-07-01,2.939658361200804,5.540115707314391,3.7506259052916446,4.084028055284629,9.741640597823585,5.848386988492044,11.246007232845477,7.248887894254969,9.999482632740323
2007-08-31,2.852746920868631,5.046789338250261,3.570449523751633,4.0281323460975,9.648047303255927,5.866486773878897,11.084055574704465,7.149717194922822,9.797077313289828
2007-09-30,2.8948269738872803,5.412522329567932,3.691528309322587,4.019891805338007,9.645197781673282,5.79996768841359,10.998514046858984,7.147400450143531,9.77986488086932
2007-10-31,2.83967737053068,5.430734359907296,3.650101589377217,3.9579526489486487,9.583586569196552,5.717524126544893,10.531285917220115,7.11684436673382,9.46332556833726
2007-11-30,2.928324123482255,5.412168324815415,3.7417717689301178,4.071936988731515,9.492891375553276,5.847274821786266,10.541392830228059,6.95749013312509,9.367681045524371
2007-12-31,2.8754609358539236,5.292706570594343,3.6605801392823283,4.004811249943044,9.46807314120552,5.779273788024893,10.59566240364065,6.917280406911691,9.400927246538027
2008-01-31,2.7995191400845565,5.66902710421475,3.70518030403045,3.9845513928102294,10.066646101913802,5.904154698440223,10.609174384151034,6.74847329072368,9.390677314399753
2008-02-29,2.8000555558296876,5.62881876042831,3.6519934873155346,3.950973355684463,10.068803054098447,5.793478649155655,10.678425697116795,6.729091517859024,9.489005675690636
2008-03-31,2.6487876901423535,6.147400511482014,3.6812548452534557,3.9417147621698154,10.112289903091888,5.762698245191409,10.573489799929158,6.6848912592308185,9.42593490382989
2008-04-30,2.9378759584845087,6.112504355566685,3.8700471336617737,4.200110701653536,10.049437651447864,5.917657858289986,10.547451220264435,6.7733601218336155,9.43925886059052
2008-05-31,2.9723798730125663,6.139775942665998,3.8798764034103934,4.21240965121312,9.966655418721542,5.861069292835282,10.731696609043484,6.797691852153141,9.60455759992134
2008-06-30,3.0414882247862574,6.172978110957834,3.897652897829894,4.2858035352685775,9.89588281125707,5.893364059743212,11.027405424271137,6.823456508645803,9.79933023449426
2008-07-31,3.059043049993736,6.187743291842768,3.9562909856654462,4.236830606928919,9.830492423423735,5.840979655969653,11.093291683237233,6.697792112345511,9.832751327380802
2008-08-31,3.2316914952097258,6.152945342554419,4.122204920387444,4.44599221071896,9.759215229839334,6.065672210042102,10.983823839374113,6.703890313563365,9.679131244080818
2008-09-30,3.2316914952097258,6.093728274442862,4.159975954947785,4.445992210718961,9.695181068312298,6.148535126341342,10.983823839374113,6.698921760330613,9.594041555534574
2008-10-31,3.2316914952097258,5.827818769866073,4.124915275310424,4.445992210718961,9.824827118073674,6.296634625436839,10.983823839374113,6.619264517451722,9.482153172431444
2008-11-30,3.186348534961553,5.827818769866073,4.079986700304071,4.357378154597547,9.824827118073674,6.20707571933322,11.00112233240103,6.619264517451722,9.518692083216482
2008-12-31,3.159346361509814,5.626666697171345,3.9841655971659247,4.288721044512059,10.135655937079267,6.243337273022693,10.365000596203705,5.905253307954394,8.874117837144798
2009-01-31,3.1580382,5.156547303438369,3.8617751311087165,4.250267125606606,10.159615424352701,6.331131620773184,10.924419903860295,6.20046276431697,9.26096833671368
2009-02-28,3.2707145458146374,5.0462378476171095,3.907194635928622,4.356688214307049,10.11190408714601,6.419787196816204,10.728852397645172,6.186503799226007,9.100535584052263
2009-03-31,3.3601022486244068,5.375773576970525,4.083174640334479,4.522016580167767,10.195831373591497,6.557357746709586,10.666896651933168,6.038606442427439,9.006611651966661
2009-04-30,3.315732423198414,5.760281821806361,4.135579831949609,4.493304565602031,10.34999011375236,6.457506423521487,10.394498760175074,6.166148394656271,8.976404246545354
2009-05-31,3.510488186597752,5.523870515619519,4.16416767367941,4.749898474133265,10.254725119749345,6.537135903562826,10.407061462038614,6.143327605381317,9.022766328274027
2009-06-30,3.463910310482955,5.508512230874476,4.125113651375058,4.707675621006171,10.183421203960707,6.4784757152521,9.843704598210918,6.149730384339795,8.649111133819982
2009-07-31,3.710125537310088,5.471009941015122,4.273763583328744,4.940696734359668,10.142868943092031,6.6058498657140134,9.520775650145271,6.089176745755458,8.422361866071556
2009-08-31,3.665740309001117,5.365849388379775,4.201960103497744,4.840013211949892,10.09428618946408,6.497227569784824,9.2752296053915,6.0124290385098655,8.246131960612042
2009-09-30,3.6712062304977726,5.437987199184086,4.209944887961759,4.91274756316728,10.002191772131098,6.464654895751778,9.443484607150834,5.923901200674189,8.3702697192592
2009-10-31,3.676421056888647,5.582416034833583,4.282023743236065,4.792742322514231,10.796022119088045,6.700198750138313,9.171818928304386,5.997685228592983,8.163283272327105
2009-11-30,3.7158699680357694,5.631201644077404,4.3204277330716945,4.706164434479875,10.734515314649084,6.6089608955604,8.721682424728838,5.898933139589673,7.830706193078296
2009-12-31,3.6564624140409183,5.456623853854786,4.236277767257061,4.695580782438579,10.635895520639057,6.608901228020891,8.622394079650286,6.001192335505726,7.7781292367764765
2010-01-31,3.592106102793559,5.4646300732788715,4.1770466254061995,4.6851699600811525,10.65417215981635,6.54977160001861,8.6563535772949,5.926531051546946,7.803609452242699
2010-02-28,3.6768198815285107,5.449595116930476,4.211648746719627,4.742846853221943,10.844019993449727,6.583510825596681,8.42734795871536,5.943395505536754,7.677963916569162
2010-03-31,3.628332040045068,6.267143568706877,4.4216845627595065,4.773913238122282,10.788153985631585,6.582080671613885,8.469148268060426,6.013614897882457,7.730897895617914
2010-04-30,3.6716878317359423,6.165767538679785,4.484992891055015,4.901135689948438,10.87348344038404,6.7726145875662365,8.536009973999564,5.88817329103138,7.706290961714682
2010-05-31,3.69552160594732,6.1219783099517215,4.452657199840806,4.97788978982466,10.794252600242887,6.79278939363725,8.702711629785888,5.819842422592099,7.803160079698987
2010-06-30,3.7079849811549916,6.1137288067143984,4.439245262460593,4.94360649632854,10.724693065079073,6.700850532706161,8.724810242677238,5.721492719384861,7.811908879863953
2010-07-31,3.7879728993214243,6.09445504467713,4.4613304815859545,4.941744388162353,10.727181248258995,6.631344891630735,8.722140289535158,5.682961586827968,7.834878262623104
2010-08-31,3.7891427416916,6.093419829819921,4.45652578626609,4.948018147900681,10.655118926943889,6.600954035357279,8.728882828126219,5.483574406716736,7.788950809523917
2010-09-30,3.861896731607618,6.075656320119174,4.507149984923602,5.074744157485785,10.595282286678469,6.683837216371895,8.683484328104823,5.4945434794206545,7.753991140170538
2010-10-31,3.826347483105388,6.02584530895719,4.472944622089086,5.005977745337817,10.54673429227671,6.63482106081981,8.672879849320223,5.474358025239627,7.7325947369098476
2010-11-30,3.8679971171816,5.8638203261613,4.46413302394905,4.99243867926288,10.543538988459604,6.650506488821917,8.567958795178129,5.483514845409625,7.646660865283515
2010-12-31,3.773671987913735,5.785464889598929,4.361876149108354,4.725026610330066,10.559996405736866,6.43104392017753,8.378155046033697,5.415625184650972,7.511976230774453
2011-01-31,3.705592367062227,5.837730489476552,4.334686299575281,4.928659327557426,10.56811571347269,6.592598336834172,8.871284594474803,5.392892880886015,7.844974385526178
2011-02-28,3.6734711718510584,5.773933781510364,4.293931462095349,4.877984833651194,10.49993139695936,6.53866404801429,8.825726014581244,5.403732006378584,7.81489564522369
2011-03-31,3.643132394490296,5.596437996133335,4.212398476259766,4.869401313906761,10.447771803490674,6.495146465404159,8.91778257628416,5.682183743582972,7.974808436384937
2011-04-30,3.6069178747027073,5.738307455079788,4.1961845984611506,4.831194783295068,10.350024970158852,6.3569895104219,8.852358223506203,5.590598082037976,7.950577183594759
2011-05-31,3.827295050284495,6.236699049715606,4.513301425359544,4.831194783295068,10.350024970158852,6.402518103103239,8.794519510919988,5.508649369428907,7.8589653799963815
2011-06-30,3.9140118556100205,6.205904793573835,4.556114302416886,5.170768894646404,10.338664112155401,6.618619319523632,8.608509587900388,5.5752059293162555,7.758691662803294
2011-07-31,3.95400842734432,6.302946928179978,4.639464515080201,5.112885144498177,9.961068670045618,6.527659056571669,8.800140108541953,5.414697316863157,7.820787773035147
2011-08-31,3.917755545474806,5.911421397917837,4.488905897464905,5.064138127220813,9.881063821131804,6.444102980516625,8.816316605009536,5.2149565177001405,7.7845900100090155
2011-09-30,4.0489655130530595,5.843867186122163,4.586837494700223,5.300656445993114,9.817167934538972,6.654103835856241,8.906584577832087,5.187869500846857,7.79221008164083
2011-10-31,4.049603773220767,5.714562207113012,4.535897355571711,5.263711111896373,9.712285309597393,6.563030685837167,8.988907842486444,5.185317369325318,7.877972218306679
2011-11-30,3.9815205988025593,5.191324279474544,4.346264737585694,5.713360153671678,9.692836615572526,6.913133917045876,8.976802810215805,5.202045885236798,7.838750012300369
2011-12-01,3.899977344353342,5.492281784401989,4.3744959526475435,5.030502868153181,9.717491761708501,6.427260542704601,8.773367861269875,5.097771140267084,7.678012603296916
2012-01-01,3.9,6.406418687252911,4.629621966887907,5.0,10.984640715689409,6.742137238405512,8.799999999999999,5.134234507337323,7.744687538007558
2012-02-01,3.92486388459774,6.387270346097329,4.612167427524106,5.088775414449499,10.90863300348768,6.713206150322755,8.871621928587032,5.143950590851957,7.831159374029685
2012-03-01,3.92,6.31966004676382,4.592083816433037,5.1380278287448835,10.83543840096083,6.733727788964164,8.992478919060098,5.227677088614275,7.938053570047675
2012-04-01,3.9587431381197664,5.96621111897673,4.518182734499361,5.187035038051865,10.742721372331307,6.735289331569475,8.912709728125597,5.226638380406716,7.885478267071886
2012-05-01,3.9821881869142257,5.859693458372395,4.515159055836054,5.222918358886068,10.700118068018632,6.777741097661961,8.911384959959138,5.239473471925299,7.869032703413136
2012-06-01,4.034591934597687,6.057584657751525,4.603556259030411,5.280948423404605,10.624212697143934,6.783735216939908,8.853775795408367,5.093154388206185,7.796105446965241
2012-07-01,4.13275818827301,5.983514673808803,4.644950749632398,5.312563730412043,10.548203014598252,6.761514749240878,8.847950664686488,5.063591308759512,7.800637997263656
2012-08-01,4.265027514407107,5.908139011347706,4.730487685106392,5.462545539246058,10.479486355914345,6.883743147115422,8.829257380212084,5.082799479813096,7.767961821703532
2012-09-30,4.234941096586933,5.9251343317131635,4.712711625983413,5.4399244926187915,10.389700527895874,6.839088249531901,8.808614582474918,5.029971910155489,7.740497592988
2012-10-31,4.234941096586933,5.889337681588301,4.708432845161433,5.4399244926187915,10.313249575457498,6.834680281989188,8.808614582474918,5.053283311052569,7.733830950604209
2012-11-30,4.119957300993269,5.846252750263722,4.603393211614434,5.268955122091174,10.260598600804606,6.66682691260527,8.703389558664416,5.036309515246967,7.676451683772019
2012-12-31,4.085907677395587,5.863663906357671,4.575116014843829,5.138963818187315,10.36515957114575,6.577124176639017,8.447174607743337,4.986547856343995,7.494868868632304
2013-01-31,4.17540528582575,6.05296554517994,4.7,5.29993661072259,10.5742928781721,6.76,8.46660089506567,5.0280869153916194,7.511833229665872
2013-02-28,4.18303721104684,5.908582919069455,4.660635791609574,5.289853434404609,10.523221080742552,6.73835111709896,8.312686357340263,5.103462203468552,7.4244335029124375
2013-03-01,4.24,5.9421259037175815,4.707887098553692,5.250588308626425,10.454914501529641,6.681174070235568,8.11245025977534,5.057672010595385,7.272740736166042
2013-04-30,4.294555908555882,5.8736269630948925,4.7311978408751845,5.422519931250185,10.373253365594223,6.79148797544047,8.085662405837708,5.023305003330643,7.2388647586771295
2013-05-31,4.267779993533916,5.746770533847151,4.683972102906714,5.482796347467321,10.335201405818804,6.84827681655729,8.15691307654094,5.382996490142245,7.376325125604513
2013-06-30,4.269089956180017,5.642638005841892,4.6579315063965945,5.5532617542802,10.275309442969084,6.890039411180074,8.2534254401691,5.408048109412149,7.44791963167918
2013-07-31,4.319876024819131,5.6132570269838755,4.675986695592204,5.56458932432367,10.231601080447373,6.849572391337466,8.20668848856362,5.26,7.395367452870824
2013-08-31,4.297116453280194,5.479725229083316,4.624422621194527,5.5371423710668495,10.18717544644449,6.824114476903931,8.119369712531274,5.29,7.336295734754823
2013-09-30,4.274829526650397,5.541736918209294,4.631636285957009,5.510453599318594,10.606690097145075,6.945737378989409,8.046894641748818,5.204360795170782,7.2463347138689445
2013-10-31,4.303750263421364,5.512427390095093,4.636318169317379,5.506914107079043,10.464844999522665,6.871090410319558,7.915185957754653,5.213183088585146,7.171728986414701
2013-11-30,4.336237593420899,5.439852584203394,4.645410866409744,5.542166057776283,10.455522073482072,6.9186228596706805,7.787916288634894,5.267083223882895,7.081715108153215
2013-12-31,4.24498281574773,5.418817034985557,4.568471347796764,5.294234471072828,10.495637801210387,6.727651814242176,7.577842850281004,5.138334519226466,6.905556290559973
2014-01-31,4.219961900695475,5.880229433472967,4.699794183134776,5.485213646904607,11.201601753033506,7.185587100117302,7.8808992069852755,5.981661991683106,7.315959863767667
2014-02-28,4.221459896653582,5.5306668283953595,4.611296059459976,5.450219585302906,11.139734277413435,7.14435862629634,7.867814314655078,5.788308141019853,7.248609903490186
